x,y
11.241733,-3.3562706
9.78201,0.87946266
17.283047,-1.2637584
7.3038006,-7.058923
20.082563,1.0286565
10.784376,-2.5971365
6.136463,-7.55882
9.871101,-0.5660154
19.790152,-6.63195
5.5177336,2.2190142
1.281356,-2.7681475
8.950922,1.3620054
5.1286693,0.28225666
-5.514409,3.8268123
10.762687,3.2169218
13.485804,3.767961
4.1233444,5.9486723
1.9395757,-2.9223444
0.072125375,-4.3805656
3.9914036,-2.6680086
3.3017526,-0.63238764
6.7887726,-6.3439775
17.440218,-6.0411897
-9.970681,-2.0990925
20.309622,-2.825594
3.6471417,-4.7867246
19.225801,0.48774913
1.311845,4.250787
6.935184,-8.527223
12.811333,-3.5726838
1.2529917,1.5735263
7.564575,-4.5738616
16.088478,-7.0675163
1.560453,-0.31236377
15.898102,-2.004755
7.1940613,2.6160598
3.6190991,4.1627965
2.8224437,-3.3136902
0.7060981,0.898749
16.288605,-7.821078
5.3011556,-4.522
7.1176977,-4.5873504
15.434277,-7.6183167
15.925764,-1.2754433
6.114553,-4.9871216
-0.85376906,-4.0865765
18.493029,1.9040194
9.770566,-0.49561968
17.269547,-6.982452
12.269796,-4.101667
2.8895335,-0.006908825
12.883437,0.3089197
8.760995,-5.8308578
0.7969447,-5.560048
6.857884,1.8696238
15.777246,-4.4700665
-6.10524,-2.2016385
4.197649,-5.328064
0.18127784,-4.991394
16.81931,-3.3949637
3.846681,1.7817699
-5.235448,18.425175
-10.059939,12.826922
-5.9882503,17.357956
-7.256042,15.209903
-4.934192,3.5055077
-4.498516,5.1651363
-5.458134,11.09817
-6.8924494,10.652431
-0.60381037,12.787225
-11.727913,6.379586
-3.854942,-2.7200336
-3.3153765,3.3389168
-3.9158869,13.361592
-6.4477735,5.0596333
1.2030082,-4.686454
-5.2663755,12.801871
-1.0895683,14.998002
-17.808197,-4.9588156
-2.4182043,2.059174
-7.7078896,14.181265
-6.992268,8.486052
-4.972753,11.432289
-6.647411,13.800718
-6.2910995,18.040886
-6.461686,14.339752
-7.1319895,16.655972
-3.4225242,15.611596
-5.0002904,15.966097
-5.441521,6.680986
-6.806473,11.667303
-4.255833,15.252978
-5.285236,13.408307
-6.0278835,15.211959
-4.380242,5.144306
-5.0303383,17.326744
-2.2795525,13.779029
-8.582042,14.648016
-3.037431,16.539755
-4.9809747,9.593554
-5.91175,6.250059
-10.997435,-2.6372023
0.15927762,-2.841861
-5.9572372,10.329656
-7.977679,-0.08625008
-5.3964834,-3.8801117
-1.3062873,9.154128
-2.2496643,10.06496
-4.2827606,14.513037
-11.7698965,2.4943714
-2.279466,8.519489
-2.5193717,10.50054
-4.8337407,17.15271
0.6134156,7.0264215
-3.9616969,2.7216492
-4.117493,3.7695954
2.0031612,-2.1096761
-6.608035,2.2156105
-9.504981,2.1930835
-5.965982,4.213986
-7.6217914,16.46119
-0.6178201,9.655316
-2.1903656,12.658937
-9.63295,4.579401
-0.5888145,6.3589754
-9.438727,7.7865505
1.255255,6.733903
-12.54913,2.4943962
-7.3834257,13.429732
-6.3781815,12.675769
1.9067023,3.7653978
-1.0831252,10.430583
-4.030762,9.87166
-5.5214624,14.127857
-9.153341,12.310995
0.5675439,7.0408993
-3.0692852,14.454555
-4.1535335,6.274031
-10.726321,6.9777417
-4.1349134,11.998932
19.153349,-7.2707825
22.14017,0.59895146
11.554044,-1.4913522
15.135312,1.1935929
12.977962,0.64765894
-8.7524185,-0.95778894
5.1164536,3.6022122
13.141621,-4.339146
18.526646,-7.7455297
2.6788104,-3.1667793
7.765149,2.7660258
16.9229,-0.16522509
20.653393,-0.2144342
18.01296,-3.0200655
15.655642,-2.6854503
12.39755,-1.6419264
18.196955,-5.857871
19.852413,-7.342844
18.259007,-4.540391
11.643814,1.4509841
15.0823145,-0.62747025
16.567474,1.6118383
-2.9753976,-2.2029645
21.619268,-0.6507811
17.405092,1.369592
19.82483,-8.006408
14.389041,-9.847124
17.912373,-3.0454915
6.0951695,3.4500062
1.968269,-4.7469716
16.750128,-9.620607
